Company Name,Public/Private,Ticker,Industry,CIK
Intelsat Jackson,Public,SPOT,CME,0001037388
Pfizer,Public,PFE,Healthcare,0000078003
Endo Pharmaceuticals,Public,ENDP,Healthcare,0001593034
Jarden Corp,Public,JAH,Consumer/Retail,0000895655
Armored AutoGroup,Private,,Consumer/Retail,
Phillips-Van Heusen,Public,PVH,Consumer/Retail,0000078239
Universal Health Services,Public,UHS,Healthcare,0000352915
CSG Systems,Public,CSGS,Tech,0001005757
Transtar,Private,,Industrials,
Thermadyne,Private,,Industrials,
Hersheys,Public,HSY,Consumer/Retail,0000047111
Masco,Public,MAS,Industrials,0000062996
Hanger Orthopedic,Public,HGR,Healthcare,0000722723
Tyson Foods,Public,TSN,Consumer/Retail,0000100493
Pitney Bowes,Public,PBI,Industrials,0000078814
SoftLayer,Private,,CME,
Alliance Data Systems,Public,ADS,Tech,0001101215
Conway,Public,CNW,Transportation,0000023675
Starwood,Public,HOT,Real Estate,0000316206
Retail Opportunity Investments,Public,ROIC,Real Estate,0001407623
"UDR, Inc.",Public,UDR,Real Estate,0000074208
Micro Focus International,Public,MCRO LN,Tech,0001359711
Aviv Financing,Public,AVI,Real Estate,0001499686
Americold Realty,Public,ACRE,Real Estate,0001529377
Fresenius,Public,FMCQF,Healthcare,0001333141
ViaWest,Private,,CME,
Boston Scientific,Public,BSX,Healthcare,0000885725
Res-Care,Public,RSCR,Healthcare,0000776325
US Renal Care,Private,,Healthcare,
IMS Health,Public,RX,Tech,0001058083
Integra Life Sciences,Public,IART,Healthcare,0000917520
HCA,Public,HCA,Healthcare,0000860730
BMC Software,Public,BMC,Tech,0000835729
Richmond Honan Medical,Public,MOB,Real Estate,0001498345
"800 Cottontail, LLC",Private,,Real Estate,
Peak 10,Private,,CME,
DSI Renal,Private,,Healthcare,
Carter's,Public,CRI,Consumer/Retail,0001060822
Alere,Public,ALR,Healthcare,0001145460
Dow Chemical,Public,DOW,Industrials,0000029915
Getty Images,Public,GYI,CME,0001047202
Golden Living,Private,,Healthcare,
Goodman Global,Public,GGL,Industrials,0001314655
Internet Brands,Public,INET,Tech,0001080131
Medical Properties Trust,Public,MPW,Real Estate,0001287865
American Rock Salt,Private,,Industrials,
Select Staffing,Private,,Tech,
Grede Holdings,Private,,Industrials,
PTC Inc.,Public,PTC,Tech,0000857005
Sterigenics (STHI),Public,STER,Healthcare,0001009988
Genex,Private,,Healthcare,
Easterly Government Properties,Public,DEA,Real Estate,0001622194
Education Realty Trust,Public,EDR,Real Estate,0001302343
EPR Properties,Public,EPR,Real Estate,0001045450
Equity Commonwealth REIT,Public,EQC,Real Estate,0000803649
First Potomac,Public,FPO,Real Estate,0001254595
Five Star,Public,FVE,Real Estate,0001159281
Getty Realty,Public,GTY,Real Estate,0001052752
Gramercy Property Trust,Public,GPT,Real Estate,0001297587
HCP,Public,HCP,Real Estate,0000765880
Healthcare Realty Trust,Public,HR,Real Estate,0000899749
Hudson Pacific,Public,HPP,Real Estate,0001482512
IO Data Centers,Private,,Real Estate,
Arc Logistics Partners,Public,ARCX,Energy,0001583744
Atlas Resource Partners Lp,Public,ARP,Energy,0001532750
"Axeon Refining, Llc",Private,,Energy,
"Baker Hughes, Inc.",Public,BHI,Energy,0000808362
Blue Racer Midstream Llc,Private,,Energy,
Blueknight Energy Partners,Public,BKEP,Energy,0001392091
"Bonanza Creek Energy, Inc.",Public,BCEI,Energy,0001509589
"Breitburn Energy Partners, Lp",Public,BBEP,Energy,0001357371
Buckeye Partners L.P.,Public,BPL,Energy,0000805022
"Caelus Energy Alaska O3, Llc",Private,,Energy,
Callon Petroleum Company,Public,CPE,Energy,0000928022
Calumet Specialty Prod Ptnrs,Public,CLMT,Energy,0001340122
"Canyon Midstream Partners, Llc",Private,,Energy,
"Cardinal Pipeline Company, Llc",Private,,Energy,
"Carrizo Oil & Gas, Inc.",Public,CRZO,Energy,0001040593
Cgg,Public,CGG,Energy,0001037962
"Chaparral Energy, Inc.",Public,CPR,Energy,0001346980
"Cheniere Energy, Inc",Public,LNG,Energy,0000003570
Chevron Corporation,Public,CVX,Energy,0000093410
Citrus Corp.,Private,,Energy,
Civeo Corporation,Public,CVEO,Energy,0001590584
Cloud Peak Energy Inc.,Public,CLD,Energy,0001441849
"Concho Resources, Inc.",Public,CXO,Energy,0001358071
"Cone Midstream Partners, Lp",Public,CNNX,Energy,0001610418
Sunoco LP,Public,SUN,Energy,0001552275
FCALT 2014-CLF3,Private,,Securitization,
Leidos Holdings,Public,LDOS,Aerospace,0001336920
M.Y. Safra Bank,Private,,FIG,
Blackstone Investments I Ltd,Private,,FIG,
Phillips 66 Partners,Public,PSXP,Energy,0001572910
Polymer Group,Public,POLGA,Industrials,0000927417
Skype,Private,,CME,
Spirit Aerosystems,Public,SPR,Aerospace,0001364885
Tomkins,Public,TOMK,Industrials,
B&G Foods,Public,BGS,Consumer/Retail,0001278027
CVS Health,Public,CVS,Consumer/Retail,0000064803
Cisco,Public,CSCO,Tech,0000858877
Oracle,Public,ORCL,Tech,0001341439
CyrusOne,Public,CONE,Real Estate,0001553023
Emerson Electric,Public,EMR,Industrials,0000032604
Home Depot,Public,HD,Consumer/Retail,0000354950
Mattel,Public,MAT,Consumer/Retail,0000063276
McDonalds,Public,MCD,Consumer/Retail,0000063908
Newell Brands,Public,NWL,Consumer/Retail,0000814453
Procter & Gamble,Public,PG,Consumer/Retail,0000080424
RadNet,Public,RDNT,Healthcare,0000790526
RedPrairie,Private,,Tech,
United Natural Foods,Public,UNFI,Consumer/Retail,0001020859
CKE Restaurants,Public,CKR,Consumer/Retail,0000919628
Brookdale Senior Living,Public,BKD,Real Estate,0001332349
Acadia Healthcare,Public,ACHC,Healthcare,0001520697
HealthSouth,Public,HLS,Healthcare,0000785161
USG Corporation,Public,USG,Industrials,0000757011
American Assets Trust,Public,AAT,Real Estate,0001500217
American Campus Commmunities,Public,ACC,Real Estate,0001283630
Alexandria Real Estate,Public,ARE,Real Estate,0001035443
Ashford Hospitality Trust,Public,AHT,Real Estate,0001232582
Campus Crest Communities,Public,CCG,Real Estate,0001490983
Strategic Hotels and Resorts,Public,BEE,Real Estate,0001057436
Weingarten Realty Investors,Public,WRI,Real Estate,0000828916
Simon Property Group,Public,SPG,Real Estate,0001063761
Unite Private Networks,Private,,CME,
Tanger Factory Outlet Centers,Public,SKT,Real Estate,0000899715
Ventas,Public,VTR,Real Estate,0000740260
Travel Centers of America,Public,TA,Real Estate,0001378453
Stag Industrial Inc,Public,STAG,Real Estate,0001479094
Senior Housing Property Trust,Public,SNH,Real Estate,0001075415
Sabra Health Care REIT,Public,SBRA,Real Estate,0001492298
Regency Centers,Public,REG,Real Estate,0000910606
Quality Tech,Private,,Real Estate,
Prologis,Public,PLD,Real Estate,0001045609
Pebblebrook Hotel Trust,Public,PEB,Real Estate,0001474098
Pacific Premier Retail Trust,Private,,Real Estate,
National Retail Properties,Public,NNN,Real Estate,0000751364
LTC Properties,Public,LTC,Real Estate,0000887905
Lexington Retail Trust,Public,LXP,Real Estate,0000910108
Kite Realty,Public,KRG,Real Estate,0001286043
Kilroy Realty,Public,KRC,Real Estate,0001025996
Keystone Industrial Fund,Public,KTR,Real Estate,0000906113
Interstate Hotels & Resorts,Public,IHR,Real Estate,0001059341
Retail Properties of America,Public,RPAI,Real Estate,0001222840
Hospitality Properties Trust,Public,HPT,Real Estate,0000945394
Government Properties Income Trust,Public,GOV,Real Estate,0001456772
Federal Realty Investment Trust,Public,FRT,Real Estate,0000034903
Entertainment Properties Trust,Public,EPR,Real Estate,0001045450
Duke Realty Trust,Public,DRE,Real Estate,0000783280
ECM Realty Trust,Public,ECMR,Real Estate,0001499043
Dupont Fabros,Public,DFT,Real Estate,0001407739
Digital Realty Trust,Public,DLR,Real Estate,0001297996
Developers Diversified Realty,Public,DDR,Real Estate,0000894315
Corporate Office Properties,Public,OFC,Real Estate,0000860546
Coresite Realty Trust,Public,COR,Real Estate,0001490892
Commonwealth REIT,Public,CWH,Real Estate,0001669779
